epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,21879.1,1.89847,1.15651,0.00176,0.85238,0.77465,0.81261,0.63039,1.17772,0.70865,0.00219,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
51,22291,1.86074,1.14249,0.00185,0.8522,0.77467,0.81221,0.62968,1.17873,0.70675,0.00219,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
52,22688.2,1.8345,1.11495,0.00181,0.8545,0.77469,0.81239,0.62985,1.17835,0.70537,0.00219,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
53,23081.5,1.8393,1.10839,0.00179,0.85586,0.77516,0.81262,0.6305,1.17892,0.70366,0.00219,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
54,23475.3,1.82672,1.09513,0.0018,0.85185,0.77664,0.8125,0.6296,1.17845,0.70454,0.00219,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
55,23873.6,1.81866,1.09608,0.00179,0.85624,0.7765,0.8129,0.63047,1.17849,0.70418,0.00219,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
56,24272.4,1.81398,1.08581,0.00177,0.85403,0.77681,0.81282,0.6303,1.17993,0.70376,0.00219,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
57,24671,1.81238,1.07982,0.00176,0.8548,0.77552,0.81317,0.63031,1.17961,0.70458,0.00219,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
58,25069,1.80603,1.0778,0.00175,0.8568,0.77567,0.81332,0.63068,1.18065,0.70317,0.00219,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
59,25463.7,1.79673,1.06815,0.00174,0.85238,0.77704,0.81349,0.63088,1.18152,0.70415,0.00219,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
60,25915.5,1.79079,1.06825,0.00174,0.85054,0.77788,0.81316,0.6309,1.18169,0.70334,0.0022,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
